143,147,143,145,225
143,147,143,145,143
143,147,143,144,143
144,149,143,145,143
145,149,143,145,144
146,149,143,145,145
147,150,144,145,146
148,152,144,146,146
150,151,144,145,147
150,152,144,147,148
150,151,144,147,148
151,151,144,147,148
150,151,144,145,148
149,150,144,144,148
149,149,144,141,147
147,147,144,137,145
145,144,143,133,144
143,142,143,128,142
141,139,141,123,139
138,136,139,117,136
136,135,137,111,133
133,128,134,105,130
130,122,130,100,126
126,115,126,94,123
122,110,121,89,119
118,103,116,84,116
114,98,110,79,111
109,92,105,75,107
104,87,100,71,102
99,81,94,67,98
94,77,88,63,92
90,73,81,56,88
86,70,72,54,84
83,67,64,54,81
79,64,60,55,77
75,59,55,58,75
70,58,52,62,73
65,59,51,68,71
62,62,50,74,71
63,66,51,80,71
64,72,53,88,72
68,79,57,96,75
74,88,63,104,78
81,99,68,112,83
91,110,74,118,88
100,119,81,124,93
109,128,87,129,100
117,134,96,132,106
126,141,102,136,113
134,144,110,139,121
142,150,117,144,128
145,152,123,147,133
150,154,128,150,136
152,157,133,152,140
154,159,137,152,143
155,159,140,152,145
154,160,142,151,147
153,160,144,149,148
152,160,146,148,149
150,159,147,144,149
148,157,147,141,149
147,155,146,138,148
145,152,145,136,148
143,150,143,134,147
140,148,143,133,146
138,147,141,132,145
137,146,139,132,145
136,145,138,131,145
136,143,137,131,145
135,143,137,130,145
