228,232,245,214,248
228,232,245,214,220
228,232,245,214,220
228,231,245,213,220
227,231,245,212,219
227,230,245,211,219
226,228,244,209,218
224,225,243,206,217
222,223,241,202,216
219,218,239,197,214
216,213,236,192,212
212,207,232,187,208
208,200,228,182,204
203,193,223,176,201
198,185,219,171,197
193,177,214,166,192
187,169,208,161,187
182,162,204,157,182
176,155,198,153,177
171,149,193,150,172
166,143,188,148,167
161,138,183,147,163
156,134,178,146,159
153,131,174,146,156
150,130,171,145,153
147,130,168,146,151
146,130,166,147,149
145,132,164,149,147
146,134,164,151,147
147,137,163,155,146
149,141,164,159,147
151,145,166,167,148
155,150,171,173,150
158,157,174,177,152
163,165,178,181,155
168,173,182,185,159
176,180,186,189,162
186,187,191,191,166
193,192,195,191,171
199,197,199,191,175
203,201,203,190,179
206,204,206,188,183
208,205,209,185,185
208,203,211,182,187
209,202,213,179,189
209,202,213,176,189
209,199,214,172,189
208,196,210,168,189
206,192,207,162,187
205,187,203,156,185
201,181,199,149,182
198,173,194,142,179
193,164,189,135,177
188,155,184,129,173
182,145,179,123,167
175,136,172,119,162
168,127,165,116,156
161,120,158,113,151
153,113,152,112,145
146,108,145,111,140
140,104,141,111,134
133,101,136,113,130
129,99,133,114,126
125,98,130,115,123
123,98,128,115,120
121,99,126,116,117
120,99,126,117,116
119,101,126,118,115
119,103,126,119,114
120,107,126,120,112
