263,265,256,254,253
263,265,256,254,253
263,265,256,254,253
263,265,255,253,252
263,264,255,253,252
263,263,254,252,251
262,262,252,251,251
261,261,251,250,249
260,260,248,248,247
259,258,245,246,246
258,256,242,244,245
255,253,238,241,243
253,251,235,238,241
251,248,231,235,240
249,245,227,232,238
247,242,223,228,236
244,239,219,225,234
242,235,215,221,232
239,231,210,217,230
237,227,207,213,228
234,223,203,209,226
231,218,199,206,224
227,213,195,202,222
224,207,192,198,219
220,201,188,194,217
216,195,185,189,215
212,189,181,185,212
207,183,177,181,210
202,177,173,177,207
196,171,170,173,204
191,165,167,169,202
185,159,163,165,199
179,153,159,161,196
174,146,157,157,194
169,141,154,153,191
163,135,151,150,189
159,130,148,146,186
154,125,145,143,183
149,120,143,140,180
143,116,140,137,177
