580,581,568,565,578
579,581,568,564,578
579,580,568,564,578
578,579,567,563,578
578,578,566,563,578
577,578,566,562,578
577,576,564,562,578
576,575,563,561,578
575,573,561,561,579
573,571,558,560,579
572,569,555,558,580
570,568,553,557,580
568,566,551,556,580
566,565,549,555,580
565,563,547,553,581
563,562,545,552,581
561,560,543,551,582
559,558,541,549,582
558,556,539,548,582
556,554,537,546,583
555,552,535,545,583
553,551,534,543,584
551,549,532,542,584
549,547,531,541,584
547,546,530,539,584
545,545,529,537,583
543,544,528,536,583
541,543,527,534,581
538,541,525,533,580
536,540,524,531,578
534,538,522,529,576
532,537,521,528,574
530,536,519,526,572
528,534,519,525,570
526,533,519,523,568
524,531,519,522,566
523,530,519,520,564
522,530,518,520,562
521,530,517,519,559
520,529,516,520,557
