110,89,136,87,70,110,85,125,92,127,96,145,72,139,75,105,80,101,149,100
110,89,136,88,69,111,86,125,93,127,97,146,73,138,76,105,80,101,149,101
109,89,137,89,69,111,85,125,94,126,97,147,73,138,76,105,80,101,149,102
109,88,137,90,70,111,85,125,96,126,98,147,72,139,76,105,80,101,149,104
109,88,138,90,70,111,86,126,98,126,98,146,72,139,76,105,80,102,148,105
109,88,138,90,70,110,87,126,98,126,98,146,72,138,76,105,80,102,147,106
108,88,138,90,70,110,87,127,99,125,98,146,72,138,76,105,79,102,147,107
108,88,138,90,70,110,88,127,99,124,98,145,73,138,76,106,79,103,145,107
107,87,139,89,71,110,88,127,99,124,98,145,74,137,75,106,78,102,144,108
107,87,138,89,71,111,88,127,98,123,98,144,75,136,75,106,78,102,143,108
107,88,139,89,71,112,88,127,98,122,98,143,75,136,75,107,77,101,143,109
107,87,139,89,71,112,87,127,97,122,98,142,76,136,75,108,77,101,142,110
107,88,139,89,71,112,87,127,97,122,98,141,77,136,74,109,76,101,142,111
107,88,139,89,70,112,87,127,97,122,98,140,78,135,75,110,76,101,141,111
107,88,138,89,70,112,86,127,96,122,98,140,78,135,74,110,76,101,141,111
106,88,138,89,71,112,86,127,96,122,98,140,78,135,74,110,75,100,140,111
106,87,138,89,71,112,86,128,96,122,98,139,78,135,74,110,76,100,139,110
105,87,138,89,71,112,86,128,96,122,99,139,79,134,74,110,75,99,139,110
105,87,138,89,71,112,86,128,95,121,100,138,79,134,75,109,76,99,139,109
105,87,138,89,72,112,86,128,95,121,101,138,80,133,75,109,75,99,139,109
104,87,138,90,72,112,86,129,95,120,102,137,80,133,76,108,75,99,139,109
104,88,138,90,73,112,85,129,95,119,102,137,80,133,76,108,75,99,139,109
104,88,138,89,73,113,85,129,95,119,102,138,81,133,77,108,75,99,139,108
104,89,138,89,74,113,85,129,96,119,102,139,81,133,77,107,75,99,139,107
105,89,139,89,74,112,85,128,96,118,101,140,81,133,77,106,75,99,140,105
105,89,139,89,74,112,85,129,97,118,101,140,80,133,77,104,75,99,140,101
106,90,139,88,74,112,84,130,98,118,100,141,78,133,78,101,75,99,140,100
107,90,139,88,74,112,82,130,100,118,96,142,78,132,78,99,75,97,141,100
107,91,139,88,74,111,80,130,102,118,93,143,78,131,78,99,75,98,142,99
108,91,139,88,74,112,79,131,104,119,92,144,77,129,77,100,75,98,143,99
109,91,139,88,74,111,80,132,105,119,91,144,77,129,74,100,76,99,143,100
109,91,139,89,74,111,81,132,106,119,91,145,76,129,73,100,76,99,140,100
110,90,140,90,74,111,81,133,105,119,91,144,74,130,73,100,76,99,139,100
111,90,141,91,74,112,81,134,104,119,90,143,73,130,74,98,76,97,137,99
112,90,142,92,73,113,80,133,102,120,90,140,71,129,74,98,77,96,137,100
112,90,143,93,73,113,81,132,100,120,87,138,67,127,74,98,77,93,137,100
112,91,143,95,73,114,80,130,98,119,85,137,65,125,75,100,77,96,137,101
112,91,144,96,73,114,80,129,94,118,85,135,61,125,76,99,77,96,136,103
112,91,145,99,73,115,76,129,91,119,84,133,62,125,71,98,76,93,135,104
112,92,146,100,74,116,75,129,89,119,86,131,60,125,69,97,75,91,133,106
