249,251,257,257,244
249,251,257,258,245
249,251,257,257,245
248,251,257,257,245
248,251,257,257,245
247,250,257,256,245
246,250,255,254,244
244,248,254,253,244
242,247,252,252,243
239,245,249,250,242
236,243,246,247,240
232,240,243,244,238
229,237,240,240,235
225,234,237,236,232
221,232,233,233,229
218,229,229,229,225
214,226,225,224,221
210,223,221,220,218
206,219,216,215,214
201,215,212,210,210
197,210,208,205,207
193,206,205,200,203
189,201,201,195,199
184,195,197,190,196
179,191,192,185,192
174,186,188,180,188
169,180,184,175,185
164,175,179,170,181
158,170,175,164,178
153,165,170,159,174
147,159,166,153,171
142,154,161,147,168
136,150,156,141,164
131,145,151,135,161
125,140,147,129,157
120,135,143,124,154
114,130,138,118,150
109,125,133,113,146
104,120,128,108,141
100,114,123,104,136
