189,189,186,187,187
190,190,186,187,187
190,190,186,187,187
189,190,186,187,187
189,189,185,186,188
188,188,184,186,187
187,187,183,185,187
185,186,181,184,186
183,184,180,183,184
180,183,178,182,183
178,181,176,180,180
175,178,173,178,178
172,176,171,176,176
170,174,168,175,173
167,171,166,173,170
164,168,163,171,167
162,166,160,168,163
159,163,157,166,160
156,161,154,163,157
154,158,151,160,153
151,155,148,157,150
148,152,145,153,146
145,150,141,150,142
141,147,138,146,138
138,145,135,142,134
134,142,131,137,129
131,140,129,133,125
127,137,125,129,121
123,135,122,126,117
119,133,118,122,113
115,132,115,118,110
112,129,112,114,106
109,127,109,111,102
106,125,106,108,98
102,123,103,105,94
99,122,100,102,90
97,120,97,99,85
94,118,95,96,81
91,115,92,94,73
89,113,90,91,67
