153,142,138,133,129
152,142,138,133,129
152,142,139,132,129
152,142,139,132,130
151,141,138,131,130
150,140,137,130,129
148,138,136,129,128
146,135,135,128,127
144,132,133,126,125
141,129,130,124,123
138,125,127,122,120
135,121,124,119,117
132,117,120,116,114
128,113,116,113,111
124,109,112,110,108
120,105,108,106,103
117,100,105,103,100
113,95,101,100,96
109,91,97,96,93
105,87,93,93,89
101,83,90,89,86
98,79,86,86,83
93,75,83,82,80
90,71,79,79,76
87,67,76,76,74
84,62,73,73,71
81,54,71,70,69
79,45,68,68,68
77,38,66,66,67
76,36,64,64,68
75,37,64,63,69
76,47,65,63,72
78,62,68,63,76
80,71,72,64,81
84,78,77,66,87
88,86,83,69,93
94,93,90,74,98
102,101,97,80,106
110,110,105,86,113
119,118,113,93,121
127,126,120,100,128
135,135,126,107,136
141,142,130,113,144
145,146,133,121,149
149,151,135,126,151
151,154,137,132,154
153,155,138,138,154
153,155,139,141,155
154,155,139,142,153
154,152,138,142,149
153,149,137,142,145
151,145,134,140,141
149,141,132,138,136
145,137,127,134,129
139,132,124,130,124
136,127,118,125,117
130,121,114,120,111
124,115,108,115,105
118,110,102,111,99
112,105,97,106,93
107,100,91,101,88
101,96,86,95,83
96,92,82,91,78
90,89,77,86,74
86,86,74,81,70
83,83,70,76,67
81,81,65,73,65
79,75,61,70,64
78,68,59,67,64
78,63,58,65,64
