142,141,148,157,150
142,141,148,157,150
142,141,148,157,150
142,141,147,157,150
142,141,147,156,149
142,140,147,156,148
142,139,146,155,145
141,138,146,152,143
140,136,145,150,140
138,134,143,147,136
136,132,142,144,133
133,129,139,141,129
130,126,137,138,126
127,123,134,135,122
124,119,132,133,118
120,115,129,129,114
117,110,126,125,110
113,106,122,120,106
109,102,119,116,103
105,96,115,111,99
101,93,111,107,95
96,88,106,102,92
92,85,102,99,88
87,82,99,95,85
83,79,95,92,83
79,77,92,89,81
75,76,89,86,80
73,75,87,83,80
71,76,84,81,81
70,77,82,80,83
71,80,81,79,87
73,84,80,78,92
76,89,79,79,97
80,95,81,80,102
86,102,83,82,109
92,109,86,86,116
98,118,90,90,123
106,125,95,96,130
112,136,100,102,138
121,144,107,109,146
130,150,113,116,152
136,157,120,125,158
141,163,127,136,163
146,168,132,142,165
149,169,137,147,168
150,172,141,152,170
150,170,145,157,170
148,171,147,161,169
143,168,150,167,166
142,161,152,168,162
135,164,152,170,158
131,154,152,169,150
126,149,152,166,143
120,142,151,163,135
114,133,149,159,128
109,123,145,152,121
103,116,141,146,113
98,110,137,138,106
93,103,133,132,100
88,98,127,124,95
83,92,121,116,90
79,88,117,109,86
76,85,111,101,82
73,82,106,94,80
70,81,100,89,77
68,80,96,84,76
67,79,92,80,74
66,79,88,76,74
65,79,84,73,74
65,80,81,71,74
