114,111,110,124,173
114,111,110,124,173
114,111,111,124,173
114,111,111,126,173
115,112,112,127,174
116,113,113,129,176
119,115,114,132,179
122,117,115,136,182
126,120,117,140,185
130,123,120,145,189
135,126,124,149,193
140,130,128,155,196
146,134,133,160,200
152,139,139,167,204
159,143,145,171,208
165,148,151,178,213
170,153,159,183,217
176,158,166,188,221
181,162,172,194,225
185,167,179,198,229
189,172,186,202,231
192,176,193,204,232
194,180,199,206,234
195,184,203,206,233
196,187,206,206,232
196,190,207,204,230
196,193,207,201,226
195,195,206,199,223
193,196,202,195,219
191,197,200,191,214
189,197,199,187,210
186,195,195,182,204
183,193,189,176,199
178,190,186,171,193
172,185,180,165,186
166,180,176,159,179
160,174,170,153,173
154,168,163,147,167
148,162,156,142,162
142,155,150,136,157
136,149,143,132,153
130,143,137,127,150
125,137,132,123,148
119,132,127,118,145
115,127,123,114,144
112,122,120,111,143
110,119,117,109,143
111,116,115,108,143
112,113,114,109,145
115,112,115,110,147
119,111,116,113,150
124,112,119,117,155
129,114,123,122,159
135,117,128,128,165
142,120,133,134,171
149,125,139,142,178
157,130,146,149,184
164,136,154,157,191
172,143,162,165,198
179,150,169,172,204
186,157,177,179,209
192,165,185,186,214
196,172,191,193,219
200,179,198,198,223
204,186,202,203,227
208,191,206,207,231
211,196,210,209,234
213,199,213,211,235
214,202,215,211,236
214,203,215,209,235
213,203,215,207,234
211,202,213,203,232
208,200,211,198,228
204,198,206,192,223
199,194,202,186,218
194,189,196,178,212
188,184,189,170,207
181,177,182,162,202
175,170,174,154,196
167,163,166,146,188
159,155,157,139,181
151,147,149,133,173
143,139,142,127,166
136,132,134,123,159
129,125,128,118,152
124,119,121,115,146
119,113,116,112,141
115,109,112,110,138
112,106,108,109,135
109,103,105,109,133
