593,572,580,581,567,575,573,573,569,571,579,565,577,573,570,569,567,575,574,573
593,572,579,581,567,574,573,572,569,571,579,565,576,572,570,569,567,575,574,573
593,572,582,581,567,573,573,573,569,571,579,565,576,572,569,569,567,575,574,573
593,572,580,581,566,573,573,573,569,571,579,564,576,572,569,569,567,575,575,573
593,572,578,581,566,572,573,573,568,570,579,564,575,572,569,569,567,575,575,573
594,572,581,580,565,572,572,573,569,570,578,564,575,572,569,569,567,575,575,573
594,572,577,579,564,571,572,573,568,570,577,564,574,571,569,568,566,575,575,572
594,571,577,579,563,570,571,572,568,569,576,563,574,570,568,567,566,574,574,572
594,571,575,577,562,570,570,572,567,569,575,563,572,569,567,566,565,573,575,571
594,569,574,575,561,568,569,571,565,568,573,562,571,567,566,564,564,572,574,571
594,568,574,573,559,567,567,569,564,567,570,562,569,565,564,563,563,571,573,569
594,566,570,571,557,565,565,567,562,567,568,560,566,563,562,561,562,569,572,567
563,563,568,570,556,563,563,565,560,566,565,559,563,560,559,558,561,568,570,564
563,561,566,568,553,561,561,563,558,564,563,557,560,558,556,556,559,566,568,562
563,558,564,565,551,559,559,561,556,562,561,557,557,556,553,555,557,564,566,559
563,556,561,563,548,557,557,559,554,562,558,555,554,554,550,552,555,562,564,557
563,554,558,560,546,555,554,558,551,558,556,553,552,552,548,551,554,560,562,554
563,552,556,558,545,554,552,555,549,558,555,552,549,550,545,549,553,558,560,552
562,551,554,555,543,552,550,554,547,556,552,550,546,548,542,547,551,557,558,550
562,549,550,552,542,550,547,551,545,554,550,549,543,546,540,545,550,555,556,548
561,547,548,549,540,548,544,549,543,552,549,548,541,543,546,544,548,553,554,546
560,546,546,546,546,547,551,548,541,551,548,546,539,541,544,543,547,552,552,543
559,544,547,544,545,545,549,545,539,549,546,553,543,545,542,541,547,550,550,541
558,543,545,548,534,551,547,543,544,547,545,552,541,543,540,540,546,549,548,539
556,542,543,545,542,550,546,542,543,546,544,551,540,541,538,548,544,547,546,547
554,541,540,544,540,549,544,546,542,544,543,549,538,539,537,537,543,545,544,534
551,539,538,541,538,547,543,545,540,543,541,548,537,538,535,536,542,543,542,533
549,538,536,540,536,546,542,543,539,543,540,546,535,536,534,536,540,542,539,530
547,537,534,538,535,545,541,541,538,541,539,544,533,535,533,533,539,541,537,540
544,536,531,537,533,543,540,540,537,539,537,543,532,533,532,533,538,539,535,539
542,536,529,535,532,543,540,539,536,538,537,543,531,531,532,543,537,537,532,537
539,535,528,534,531,541,539,537,534,537,534,541,530,530,530,542,537,535,531,536
537,534,526,532,529,540,539,535,533,536,535,541,529,529,530,529,537,534,528,534
535,533,525,531,528,539,538,535,532,533,534,539,527,528,528,541,537,532,526,533
533,533,523,529,527,538,539,533,531,532,533,539,526,526,528,541,536,530,525,532
530,530,522,529,525,538,538,532,530,530,533,539,524,526,527,540,536,539,539,531
527,530,521,527,525,537,537,532,528,528,533,538,524,525,526,539,535,527,522,531
525,527,520,527,525,536,536,531,527,528,531,537,522,524,526,538,535,537,538,530
523,528,519,526,523,535,536,531,526,526,531,537,521,523,525,538,534,523,536,530
522,527,518,525,523,535,536,530,526,524,530,537,520,522,525,538,533,534,537,529
