66,68,64,55,59
66,68,64,55,59
66,68,66,55,59
66,68,65,55,60
66,68,65,55,60
67,69,67,55,61
67,70,66,56,62
68,71,67,58,63
69,73,68,59,65
70,75,69,61,67
70,78,72,63,69
70,81,74,64,72
71,84,76,67,75
71,87,78,69,77
71,89,81,72,80
71,92,84,75,82
72,95,88,78,85
72,97,91,82,87
73,100,95,85,90
74,102,97,88,93
76,104,100,91,96
78,106,104,94,104
80,108,110,98,107
82,110,113,105,105
86,112,116,107,114
89,115,118,111,116
92,117,121,113,120
96,119,124,115,123
100,121,127,118,126
104,123,130,121,129
108,127,132,123,132
111,130,135,125,135
115,133,137,127,138
119,136,139,129,141
123,140,140,130,144
126,142,142,133,146
130,145,144,134,149
133,147,145,136,153
136,152,147,137,155
139,154,149,139,158
