128,137,124,145,120
128,137,124,145,120
128,137,124,145,120
129,137,124,145,120
129,137,124,145,120
129,137,125,145,120
129,137,125,145,119
129,137,125,145,119
129,137,125,145,118
130,137,126,144,118
129,137,126,144,118
130,137,126,144,117
130,137,126,143,117
130,136,126,142,116
130,136,126,142,116
130,136,125,141,116
130,136,125,140,115
130,136,125,139,115
129,136,124,139,115
129,136,124,139,115
129,135,124,138,115
129,135,124,138,114
129,134,123,137,114
129,133,123,137,113
128,132,123,137,113
128,132,123,137,113
129,132,123,137,113
129,132,122,137,113
129,131,122,137,113
130,131,123,136,114
130,131,123,136,114
130,131,124,136,114
131,131,124,136,114
130,132,127,137,114
131,133,127,137,114
130,134,129,138,114
131,135,130,138,113
132,137,129,140,113
133,139,130,142,113
135,139,130,146,113
