119,130,103,145,113,110,117
119,129,104,144,113,110,117
119,129,104,144,114,110,117
118,129,104,143,114,110,117
118,129,103,143,113,110,116
118,128,103,142,113,110,116
117,128,103,142,113,109,116
117,128,103,141,112,109,116
116,127,103,140,111,109,116
115,127,103,139,111,109,115
115,128,103,139,111,109,115
115,128,102,139,110,108,115
114,128,102,138,110,109,115
114,128,102,138,110,109,115
115,128,102,137,110,109,115
114,128,102,137,110,109,115
114,128,101,137,110,109,115
114,128,101,136,111,109,115
113,127,102,136,111,108,116
114,128,102,136,111,108,115
114,127,102,136,111,109,116
114,127,103,136,111,109,115
114,127,103,136,111,108,116
114,128,103,137,111,109,116
114,128,104,136,111,109,116
114,128,104,136,111,109,117
114,128,104,136,111,109,117
113,128,105,136,111,109,118
113,128,105,136,111,109,118
112,128,105,136,112,110,118
112,128,105,137,111,109,119
112,128,106,137,112,109,119
111,127,106,138,112,110,119
111,127,107,137,113,111,119
109,127,107,137,114,110,120
108,126,108,137,114,110,120
107,126,108,136,114,110,119
106,125,107,136,115,111,119
106,125,108,136,114,109,120
104,125,108,136,114,110,120
