576,577,578,576,583,580,588
576,577,578,577,583,580,587
576,577,578,577,583,580,587
576,577,578,577,583,580,587
576,577,578,577,583,580,587
576,578,579,578,583,580,587
577,578,579,579,583,580,587
577,579,579,580,583,581,587
578,579,580,580,584,581,587
579,580,580,581,584,581,586
579,580,581,582,584,582,586
580,580,581,583,585,582,585
580,579,581,583,585,582,585
580,579,581,584,585,582,585
581,578,581,585,585,582,584
581,578,581,585,584,581,584
582,578,581,585,583,581,584
582,578,581,586,583,580,584
582,578,581,586,583,580,584
582,579,581,586,582,580,584
582,579,580,586,582,580,584
581,579,580,586,581,579,584
581,579,579,586,581,579,584
581,579,579,587,580,579,584
581,579,579,586,580,579,584
581,579,578,586,581,579,584
582,579,578,586,581,580,584
583,579,578,586,581,580,584
583,579,578,586,582,581,584
584,580,578,587,582,581,584
585,580,578,587,583,581,584
586,581,578,587,584,581,584
587,581,577,587,584,582,584
588,582,577,588,585,582,585
588,582,576,588,585,582,585
589,583,576,588,585,582,585
589,584,576,588,585,583,586
590,584,576,589,585,583,586
591,586,577,589,585,584,587
591,587,577,589,586,585,587
