70,80,78,85,82,76,99
70,80,79,86,82,76,99
70,80,79,86,83,76,99
70,80,79,87,84,77,99
71,81,80,88,85,78,99
72,82,81,89,86,79,100
74,83,83,91,88,81,101
76,85,84,93,90,82,103
79,87,86,96,92,85,105
81,90,89,98,94,87,108
84,92,91,101,96,90,110
87,94,93,104,98,93,113
90,96,96,106,100,96,116
93,98,99,109,102,99,119
96,100,101,112,104,101,122
98,102,104,114,106,104,125
101,105,106,116,108,107,128
103,107,109,119,110,109,131
106,110,112,121,111,112,134
108,113,114,123,114,115,137
111,115,117,126,116,118,140
114,118,119,127,118,120,142
118,120,121,130,121,123,145
120,122,124,132,124,126,148
124,125,126,134,127,129,150
128,127,129,137,131,132,153
132,129,132,139,134,135,156
136,132,134,142,138,138,159
139,134,137,144,142,141,162
143,136,140,147,145,143,165
147,138,142,150,149,146,167
151,141,145,153,153,149,170
154,143,147,156,157,150,173
156,145,150,159,161,152,175
159,147,152,161,164,155,178
161,149,154,163,167,157,179
163,152,156,166,171,160,182
165,154,159,168,173,161,184
166,157,161,171,177,165,186
167,160,163,173,180,166,187
